model,C,solver,penalty,AUC,Brier,LogLoss,n_estimators,max_depth,learning_rate,subsample
Logistic Regression,0.01,liblinear,l1,0.6453819819851616,0.23273242714979733,0.6560884794897706,,,,
Logistic Regression,0.01,liblinear,l2,0.6444196618521739,0.23301096985200073,0.6566556529539359,,,,
Logistic Regression,0.01,lbfgs,l2,0.6444261569272893,0.23300761487343033,0.656649066545064,,,,
Logistic Regression,0.01,saga,l1,0.6453826878650232,0.2327365455046323,0.656096937636145,,,,
Logistic Regression,0.01,saga,l2,0.6444038677902706,0.23301247949426016,0.6566589070280183,,,,
Logistic Regression,0.5,liblinear,l1,0.6420912141878714,0.23338767449467848,0.6576905780088521,,,,
Logistic Regression,0.5,liblinear,l2,0.6421071896216837,0.23339149230101197,0.6576898887978203,,,,
Logistic Regression,0.5,lbfgs,l2,0.6422194294216216,0.23336681318104652,0.6576154277986093,,,,
Logistic Regression,0.5,saga,l1,0.6420862142055185,0.23339013058148073,0.6576955179685977,,,,
Logistic Regression,0.5,saga,l2,0.6421079690306976,0.23339138100413515,0.6576895313543007,,,,
Logistic Regression,1.0,liblinear,l1,0.6420349790922306,0.23340056768400025,0.6577298076987507,,,,
Logistic Regression,1.0,liblinear,l2,0.6420459741514637,0.23340214888073083,0.6577248568295987,,,,
Logistic Regression,1.0,lbfgs,l2,0.6421623168780972,0.233385209551834,0.6576588731409228,,,,
Logistic Regression,1.0,saga,l1,0.6420301359720691,0.23340306625912355,0.6577348867142642,,,,
Logistic Regression,1.0,saga,l2,0.6420461163078248,0.23340212810504343,0.6577248586887909,,,,
Logistic Regression,10.0,liblinear,l1,0.6419718567659958,0.23341539649741386,0.6577782251589251,,,,
Logistic Regression,10.0,liblinear,l2,0.6419784939974721,0.23341453541600268,0.6577725473215559,,,,
Logistic Regression,10.0,lbfgs,l2,0.6420168075877379,0.23341128218622886,0.657739102832585,,,,
Logistic Regression,10.0,saga,l1,0.6419752685186602,0.23341524290583193,0.6577777237697139,,,,
Logistic Regression,10.0,saga,l2,0.6419784792916416,0.23341470371763098,0.6577743359578223,,,,
XGBoost,,,,0.6590377573177192,0.22987156025723018,0.6514773264293194,50.0,4.0,0.02,0.5
XGBoost,,,,0.6584909063066051,0.22995962139572693,0.6516639452545435,50.0,4.0,0.02,0.6
XGBoost,,,,0.6573334152938285,0.23008028466081482,0.6519222398293956,50.0,4.0,0.02,0.7
XGBoost,,,,0.6577513402893871,0.23003872755855018,0.6518367604122279,50.0,4.0,0.02,0.8
XGBoost,,,,0.6598711881997278,0.2265745881510024,0.6431382915808299,50.0,4.0,0.05,0.5
XGBoost,,,,0.6596172650763193,0.22659342577151087,0.6431384590163305,50.0,4.0,0.05,0.6
XGBoost,,,,0.6591758279088427,0.22665277570799977,0.6433358972238393,50.0,4.0,0.05,0.7
XGBoost,,,,0.6586886016872882,0.2266907943731178,0.6434033543391194,50.0,4.0,0.05,0.8
XGBoost,,,,0.6591637323632975,0.23509432242781036,0.6629515088109389,50.0,5.0,0.01,0.5
XGBoost,,,,0.6590368431052597,0.23520184898476137,0.6631630763910852,50.0,5.0,0.01,0.6
XGBoost,,,,0.659159734828387,0.23535254764672503,0.663481723341195,50.0,5.0,0.01,0.7
XGBoost,,,,0.6587379593562219,0.23537575640679184,0.6635328622852983,50.0,5.0,0.01,0.8
XGBoost,,,,0.659232504179397,0.229815990200112,0.6513433716938211,50.0,5.0,0.02,0.5
XGBoost,,,,0.6589805614411557,0.22994480260401667,0.6515973737314279,50.0,5.0,0.02,0.6
XGBoost,,,,0.6594366431647888,0.23009341049954773,0.6519377026240467,50.0,5.0,0.02,0.7
XGBoost,,,,0.6588327335315287,0.23015995303991552,0.6521165438067312,50.0,5.0,0.02,0.8
XGBoost,,,,0.6591869185559737,0.22703285033856346,0.6440378678552064,50.0,5.0,0.05,0.5
XGBoost,,,,0.6590031005772921,0.22694104772584267,0.6438380678899861,50.0,5.0,0.05,0.6
XGBoost,,,,0.6588321011808194,0.226953874790535,0.6438555993507723,50.0,5.0,0.05,0.7
XGBoost,,,,0.6586305332647846,0.226784282526725,0.6435145639932829,50.0,5.0,0.05,0.8
XGBoost,,,,0.6588902627402493,0.2352038237159502,0.6631671250308284,50.0,7.0,0.01,0.5
XGBoost,,,,0.6587873733975056,0.235140020060843,0.6630252148911875,50.0,7.0,0.01,0.6
XGBoost,,,,0.6590327034139879,0.23517518429866985,0.6630996375138993,50.0,7.0,0.01,0.7
XGBoost,,,,0.6581919955968784,0.2353268055569656,0.6634122913043513,50.0,7.0,0.01,0.8
XGBoost,,,,0.6591849112101172,0.22981301174483948,0.6513063466969932,50.0,7.0,0.02,0.5
XGBoost,,,,0.6585059405672685,0.22986175968030312,0.6513763545671655,50.0,7.0,0.02,0.6
XGBoost,,,,0.6591476147731243,0.23009334078062274,0.6518718876313783,50.0,7.0,0.02,0.7
XGBoost,,,,0.6581801377955923,0.23016764920010827,0.6520590592380126,50.0,7.0,0.02,0.8
XGBoost,,,,0.6583129069348383,0.2271771758994159,0.6443446828660555,50.0,7.0,0.05,0.5
XGBoost,,,,0.6579171093121632,0.22741712472101705,0.6447498597981046,50.0,7.0,0.05,0.6
XGBoost,,,,0.6577154997296089,0.22757480727038337,0.6450844140509174,50.0,7.0,0.05,0.7
XGBoost,,,,0.6573133148745749,0.2278016747994054,0.6455964317407978,50.0,7.0,0.05,0.8
XGBoost,,,,0.656215826101006,0.23530700692590228,0.6633552105732637,50.0,10.0,0.01,0.5
XGBoost,,,,0.6561478582036377,0.23538825159441965,0.6635012545283678,50.0,10.0,0.01,0.6
XGBoost,,,,0.6560003538222805,0.23530988030211084,0.6633478015185087,50.0,10.0,0.01,0.7
XGBoost,,,,0.6550416292648379,0.23558254293083053,0.6639012595951549,50.0,10.0,0.01,0.8
XGBoost,,,,0.6557664894516059,0.2302321612569567,0.6521405246437947,50.0,10.0,0.02,0.5
XGBoost,,,,0.6553532997334519,0.23035444115179546,0.6523142082216292,50.0,10.0,0.02,0.6
XGBoost,,,,0.6553917407742482,0.2304754508272421,0.6526112955636615,50.0,10.0,0.02,0.7
XGBoost,,,,0.6546263096522404,0.2306165543218232,0.6528933525198084,50.0,10.0,0.02,0.8
XGBoost,,,,0.6535443012161918,0.22922198121956,0.6485818334890464,50.0,10.0,0.05,0.5
XGBoost,,,,0.6544307588718314,0.22872279214790503,0.6474967328669086,50.0,10.0,0.05,0.6
XGBoost,,,,0.6527602672186648,0.22918435066765577,0.6485160408914878,50.0,10.0,0.05,0.7
XGBoost,,,,0.6527796642090283,0.2293149373089416,0.6487666501932586,50.0,10.0,0.05,0.8
XGBoost,,,,0.6616380741205228,0.23274093953627534,0.657825972150469,80.0,2.0,0.01,0.5
